,id,name,other_information,permalink,rectype
9,140292,HUTCHISON MURRAY H,No 13F filings,hutchison-murray-h,filer
9,14105,Templeton Foreign C,TEFTX ,teftx,stock
9,14723,PIMCO Short-Term Instl,PTSHX ,ptshx,stock
9,150998,INVESTCORP STONEWORKS GLOBAL MACRO FUND LTD,No 13F filings,investcorp-stoneworks-global-macro-fund-ltd,filer
9,152030,GLYNN MICHAEL,No 13F filings,glynn-michael,filer
9,152054,ORCHARD AT PICACHO LLC,No 13F filings,orchard-at-picacho-llc,filer
9,153272,"HEDGEFORUM TACONIC, LTD.",No 13F filings,hedgeforum-taconic-ltd,filer
9,15455,GEMUNDER JOEL F,No 13F filings,gemunder-joel-f,filer
9,155052,"HEDGEFORUM GOLDENTREE, LLC",No 13F filings,hedgeforum-goldentree-llc,filer
9,155168,SEER CAPITAL PARTNERS OFFSHORE FUND LTD.,No 13F filings,seer-capital-partners-offshore-fund-ltd,filer
9,15592,WOLVERINE WORLD WIDE INC,No 13F filings,wolverine-world-wide-inc-de,filer
9,156600,"TREND EXCHANGE, INC.",No 13F filings,trend-exchange-inc,filer
9,157459,"FULCRUM DISTRESSED OPPORTUNITIES FUND I, LP",No 13F filings,fulcrum-distressed-opportunities-fund-i-lp,filer
9,159617,"ACADIANA ADDICTION CENTER, LLC",No 13F filings,acadia-louisiana-llc,filer
9,160508,MONARCH OPPORTUNITIES FUND LTD,No 13F filings,monarch-opportunities-fund-ltd,filer
9,161444,"CQS ABS FEEDER FUND, LP",No 13F filings,cqs-abs-feeder-fund-lp,filer
9,162079,ORBIMED ADVISORS LTD,No 13F filings,orbimed-advisors-ltd,filer
9,162413,Marathon Patent Group Inc ,MARA ,mara-3,stock
9,164051,"A.N. F. IMPORTS HAWTHORNE, INC.",No 13F filings,a-n-f-imports-hawthorne-inc,filer
9,164052,AUTONATION BENEFITS COMPANY INC,No 13F filings,autonation-benefits-co-inc,filer
9,165438,GRUPO SANBORNS SAB DE CV SPONSORED,GSAOY ,gsaoy,stock
9,166471,"BAYVIEW MORTGAGE SECURITIES DOMESTIC, L.P.",No 13F filings,bayview-mortgage-securities-domestic-l-p,filer
9,166612,TODAY HOME ENTERTAINMENT INC,THEI ,thei,stock
9,167160,POLA ORBIS HOLDI,PORBF ,porbf,stock
9,167777,FIRST FOUNDATION,FFWM ,ffwm,stock
9,169613,"GREYWOLF CLO CREDIT FUND OFFSHORE I, LTD.",No 13F filings,greywolf-clo-credit-fund-offshore-i-ltd,filer
9,170058,Cumulus Media Inc Warrant,CMLSW ,cmlsw,stock
9,171214,Universal Capit,UCMTD ,ucmtd,stock
9,172329,MIDOCEAN ABSOLUTE RETURN CREDIT FUND LP,No 13F filings,midocean-absolute-return-credit-fund-lp,filer
9,1725,LONE PINE CAPITAL LLC,Last 13F Filed on 2015-09-30,lone-pine-capital-llc,filer
9,174534,Great American G,GAMR ,gamr-4,stock
9,174542,"CRESCENDO IV ENTREPRENEURS FUND, LP",No 13F filings,crescendo-iv-entrepreneurs-fund-lp,filer
9,176260,Aspen Insurance Holdings Ltd 5 95% Fixed/Float Perp Non-Cumul Preference Shares,AHL+C ,ahlpc,stock
9,177549,SOLUS RECOVERY FUND OFFSHORE LP,No 13F filings,solus-recovery-fund-offshore-lp,filer
9,180892,EURONA FOUNDATION,No 13F filings,eurona-foundation,filer
9,182682,VOYA MORTGAGE INVESTMENT FUND,No 13F filings,ing-mortgage-investment-fund,filer
9,182971,BA HIGHBRIDGE COMMODITIES FUND LLC,No 13F filings,ba-highbridge-commodities-fund-llc,filer
9,187422,TREMBLANT LONG FUND LTD.,No 13F filings,tremblant-global-growth-ltd,filer
9,190337,BLACKROCK TOTAL RETURN FUND BLACKROCK CLASS,MPHQX ,mphqx,stock
9,190789,"CAPFOR WESTPORT, LLC",No 13F filings,capfor-westport-llc,filer
9,191668,Standard Life UK Smaller Companies Trust PLC,SLS.L ,slsl,stock
9,194464,COREY TOBIN J,No 13F filings,corey-tobin-j,filer
9,195974,FT 4004,No 13F filings,ft-4004,filer
9,203305,MKP OPPORTUNITY HEDGEFOCUS FUND LP,No 13F filings,mkp-opportunity-hedgefocus-fund-lp,filer
9,204263,"DAKOTA PREMIUM BEEF, LLC",No 13F filings,dakota-premium-beef-llc,filer
9,20529,PAULSON GLENN A,No 13F filings,paulson-glenn-a,filer
9,20538,PCMT CORP,No 13F filings,pcmt-corp,filer
9,208509,"PILLAR PHARMACEUTICALS III, L.P.",No 13F filings,pillar-pharmaceuticals-iii-lp,filer
9,212469,"WATERSHED CAPITAL INSTITUTIONAL PARTNERS III, L.P.",No 13F filings,watershed-capital-institutional-partners-iii-lp,filer
9,212703,JGB CAPITAL OFFSHORE LTD.,No 13F filings,jgb-capital-offshore-ltd,filer
9,218413,"Anchorage Daily News, Inc.",No 13F filings,anchorage-daily-news-inc,filer
9,223112,"EARTH HARVEST COMPANY, LLLP",No 13F filings,earth-harvest-company-lllp,filer
9,223287,"TWIN TREE MANAGEMENT, LP",Last 13F Filed on 2015-09-30,twin-tree-management-lp,filer
9,223375,NOMURA CAPITAL MARKETS PLC,No 13F filings,nomura-capital-markets-plc,filer
9,225915,SPECIALIZED PHARMACEUTICALS INC,No 13F filings,specialized-pharmaceuticals-inc,filer
9,23340,MAST KENT E,No 13F filings,mast-kent-e,filer
9,234157,LYXOR/ZWEIG-DIMENNA INTERNATIONAL FUND LTD.,No 13F filings,lyxorzweig-dimenna-international-fund-ltd,filer
9,235368,NINEPEAKS ASIA LP,No 13F filings,ninepeaks-asia-lp,filer
9,241682,TALISMAN ENTERPRISE INC,No 13F filings,talisman-enterprise-inc,filer
9,244854,"GUGGENHEIM LOAN FUND, LLC",No 13F filings,guggenheim-loan-fund-llc,filer
9,247694,RAMIUS MERGER FUND LTD.,No 13F filings,ramius-merger-fund-ltd,filer
9,248175,"ZAIS ATLAS FUND, LTD.",No 13F filings,zais-atlas-fund-ltd,filer
9,249018,WEISS ADAM J.,No 13F filings,weiss-adam-j,filer
9,249805,"AXONIC SPECIAL OPPORTUNITIES FUND 2013-1, LP",No 13F filings,axonic-special-opportunities-fund-2013-1-lp,filer
9,250645,PHOENIX PHARMS CAPITAL CORP,No 13F filings,phoenix-pharms-capital-corp,filer
9,251643,"COINSETTER, INC.",No 13F filings,coinsetter-inc,filer
9,251714,"JAT PRIME FUND, L.P.",No 13F filings,jat-prime-fund-lp,filer
9,255389,GLENVIEW STATE BANK TRUST DEPT.,Last 13F Filed on 2015-09-30,glenview-state-bank-trust-dept,filer
9,255521,ROTELLA ACROSPIRE GLOBAL EQUITY FUND LLC,No 13F filings,rotella-acrospire-global-equity-fund-llc,filer
9,259409,"GLENHILL CONCENTRATED LONG ABSOLUTE FUND, LP",No 13F filings,glenhill-concentrated-long-absolute-fund-lp,filer
9,260360,"GOTHAM PENGUIN FUND, LP",No 13F filings,gotham-penguin-fund-lp,filer
9,264228,"WATERFALL HOLDINGS, INC.",No 13F filings,waterfall-holdings-inc,filer
9,268134,TILDEN PARK LIQUID MORTGAGE FUND LP,No 13F filings,tilden-park-liquid-mortgage-fund-lp,filer
9,271979,Starboard Value R GP LLC,No 13F filings,starboard-value-r-gp-llc,filer
9,272581,DYAL II NJ INVESTORS LP,No 13F filings,dyal-ii-nj-investors-lp,filer
9,273406,Lufkin Health Holdings LLC,No 13F filings,lufkin-health-holdings-llc,filer
9,2801,"STRATEGIC INVESTMENT MANAGEMENT, LLC",Last 13F Filed on 2015-09-30,strategic-investment-management,filer
9,281340,Cairn India Ltd,No 13F filings,cairn-india-ltdadr,filer
9,2825,PALOMA PARTNERS MANAGEMENT COMPANY,Last 13F Filed on 2015-09-30,sunrise-partners-llc-ct,filer
9,283120,"ARROWPOINT GLOBAL OPPORTUNITY FUND, LP",No 13F filings,arrowpoint-global-opportunity-fund-lp,filer
9,28339,Parker Deborah S,No 13F filings,coleman-deborah-s,filer
9,283534,CIFC CLO WAREHOUSE FUND OFFSHORE FEEDER L.P.,No 13F filings,cifc-clo-warehouse-fund-offshore-feeder-lp,filer
9,284629,"CELLO LONG/SHORT REAL ESTATE DOMESTIC FUND, LP",No 13F filings,cello-credit-opportunities-domestic-fund-lp,filer
9,289686,"INTEGRIS STARWOOD OPPORTUNITIES, LLC",No 13F filings,integris-starwood-opportunities-llc,filer
9,290803,Roundcroft Ltd,No 13F filings,roundcroft-ltd,filer
